ds,y
2017-04-03,57.380001068115234
2017-04-04,59.37799835205078
2017-04-05,60.40800094604492
2017-04-06,59.375999450683594
2017-04-07,59.5
2017-04-10,61.83000183105469
2017-04-11,62.67599868774414
2017-04-12,61.268001556396484
2017-04-13,59.34000015258789
2017-04-17,60.540000915527344
2017-04-18,59.939998626708984
2017-04-19,60.492000579833984
2017-04-20,61.301998138427734
2017-04-21,60.400001525878906
2017-04-24,61.84400177001953
2017-04-25,61.599998474121094
2017-04-26,62.4739990234375
2017-04-27,62.3380012512207
2017-04-28,61.965999603271484
2017-05-01,62.97600173950195
2017-05-02,64.80000305175781
2017-05-03,63.534000396728516
2017-05-04,61.487998962402344
2017-05-05,59.599998474121094
2017-05-08,62.18000030517578
2017-05-09,61.875999450683594
2017-05-10,64.31199645996094
2017-05-11,64.68000030517578
2017-05-12,65.09600067138672
2017-05-15,63.67599868774414
2017-05-16,63.518001556396484
2017-05-17,62.87799835205078
2017-05-18,61.400001525878906
2017-05-19,63.099998474121094
2017-05-22,62.560001373291016
2017-05-23,62.09199905395508
2017-05-24,61.301998138427734
2017-05-25,62.20399856567383
2017-05-26,63.45600128173828
2017-05-30,65.19999694824219
2017-05-31,67.53800201416016
2017-06-01,68.80000305175781
2017-06-02,67.9540023803711
2017-06-05,67.69999694824219
2017-06-06,68.94000244140625
2017-06-07,71.26799774169922
2017-06-08,72.75
2017-06-09,74.88400268554688
2017-06-12,71.5979995727539
2017-06-13,73.52400207519531
2017-06-14,76.21800231933594
2017-06-15,74.5
2017-06-16,75.59600067138672
2017-06-19,75.0
2017-06-20,75.33399963378906
2017-06-21,74.87000274658203
2017-06-22,75.5979995727539
2017-06-23,76.48999786376953
2017-06-26,77.33799743652344
2017-06-27,75.27999877929688
2017-06-28,73.33599853515625
2017-06-29,74.12200164794922
2017-06-30,72.74199676513672
2017-07-03,74.0479965209961
2017-07-05,69.44000244140625
2017-07-06,63.45199966430664
2017-07-07,62.70000076293945
2017-07-10,62.58000183105469
2017-07-11,63.20000076293945
2017-07-12,66.08000183105469
2017-07-13,66.02200317382812
2017-07-14,64.63800048828125
2017-07-17,65.10800170898438
2017-07-18,63.5
2017-07-19,65.64600372314453
2017-07-20,65.37999725341797
2017-07-21,65.89199829101562
2017-07-24,66.0479965209961
2017-07-25,69.0
2017-07-26,68.0719985961914
2017-07-27,69.19999694824219
2017-07-28,67.37799835205078
2017-07-31,67.0999984741211
2017-08-01,64.5999984741211
2017-08-02,63.78799819946289
2017-08-03,69.06600189208984
2017-08-04,69.4000015258789
2017-08-07,71.47000122070312
2017-08-08,71.50599670410156
2017-08-09,72.19999694824219
2017-08-10,72.31999969482422
2017-08-11,71.39399719238281
